City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,
10,Maragogi,BR,81.91,broken clouds,-9.0122,-35.2225,
13,Port-Gentil,GA,85.96,few clouds,-0.7193,8.7815,
21,Rikitea,PF,76.26,scattered clouds,-23.1203,-134.9692,
22,Hilo,US,74.28,broken clouds,19.7297,-155.09,
25,Port Blair,IN,80.64,mist,11.6667,92.75,
26,Mahibadhoo,MV,86.22,broken clouds,3.7833,72.9667,
28,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,
29,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,
32,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,
33,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,
35,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,
38,Butaritari,KI,80.55,light rain,3.0707,172.7902,
40,Hamilton,US,71.26,broken clouds,39.1834,-84.5333,
42,Mawlaik,MM,77.05,broken clouds,23.6333,94.4167,
43,Itacare,BR,81.95,clear sky,-14.2775,-38.9967,
44,Faanui,PF,80.47,light rain,-16.4833,-151.75,
46,Vaini,TO,78.96,broken clouds,-21.2,-175.2,
51,Tautira,PF,79.32,scattered clouds,-17.7333,-149.15,
52,Cozumel,MX,84.94,scattered clouds,20.5083,-86.9458,
57,Kapaa,US,71.92,broken clouds,22.0752,-159.319,
58,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,
69,Atuona,PF,78.94,scattered clouds,-9.8,-139.0333,
70,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,
75,Kahului,US,74.84,light rain,20.8947,-156.47,
76,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,
78,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,
83,Castro,BR,73.51,clear sky,-24.7911,-50.0119,
88,Umm Lajj,SA,80.22,clear sky,25.0213,37.2685,
91,Bubaque,GW,78.49,clear sky,11.2833,-15.8333,
93,Bengkulu,ID,77.29,overcast clouds,-3.8004,102.2655,
96,Lejanias,CO,78.48,broken clouds,3.5251,-74.0216,
100,Merauke,ID,78.58,overcast clouds,-8.4667,140.3333,
104,Shahr-E Babak,IR,72.19,few clouds,30.1165,55.1186,
106,Sibolga,ID,77.38,moderate rain,1.7427,98.7792,
